id;holder_name;card_number;expiration_month;expiration_year;cvc
1;mobile Grocery;Electronics;copying maroon;AI iterate GB;Spur Progressive
2;New Jersey Lead;haptic compressing;turquoise Global;Principal Paradigm;Via engineer e-tailers
3;Tactics;Pakistan Rupee International overriding;Generic;Licensed Cotton Bacon;intuitive Saint Martin Quality
4;optical plum middleware;alarm functionalities;payment RSS;compressing Identity;Avon
5;Connecticut;Orchestrator scalable Forward;hub port Mauritius Rupee;overriding;Egyptian Pound vertical
6;Configuration synthesizing;Auto Loan Account Savings Account responsive;Cocos (Keeling) Islands Auto Loan Account;architectures;Croatian Kuna SAS Sports
7;capacitor invoice quantify;attitude-oriented Rubber;visionary;Brunei Darussalam open-source;e-business Idaho Officer
8;Designer Mexico;intermediate;mint green wireless Ohio;Advanced;primary frame Maryland
9;Pre-emptive parse challenge;Licensed;Handmade Metal Shirt Home Specialist;lime bluetooth;Wooden
10;infomediaries Rustic Granite Computer;transmitter SMTP Bypass;Incredible Concrete Sausages protocol;bricks-and-clicks;port FTP Ford
